Abandoned Iron Mine 1;Mediah;2;3;Iron Ore;Powder of Darkness;Rough Black Crystal;
Abandoned Iron Mine 2;Mediah;2;3;Zinc Ore;Powder of Time;Platinum Ore;
Ahto Farm 1;Mediah;2;2;Aloe;;;
Ahto Farm 2;Mediah;2;2;Cotton;Cotton Yarn;;
Akman;Valencia;5;3;Fig;;;
Akum Rocky Mountain 1;Drieghan;1;5;Noc Ore;Rough Lapis Lazuli;;
Akum Rocky Mountain 2;Drieghan;1;5;Iron Ore;Rough Lapis Lazuli;;
Albresser Island;Sea - West;1;1;Dried Octopus;Dried Ray;Dried Mullet;Dried Pintado
Alejandro Farm 1;Serendia;2;1;Cooking Honey;;;
Alejandro Farm 2;Serendia;2;1;Pumpkin;;;
Altas Farmland 1;Valencia;2;2;Teff;;;
Altas Farmland 2;Valencia;2;2;Teff;;;
Ancient Fissure 1;Mediah;2;3;Silk Honey Grass;;;
Ancient Fissure 2;Mediah;2;3;Zinc Ore;Powder of Time;Rough Red Crystal;
Ancient Ruins;Mediah;1;3;Trace of the Earth;Trace of Chaos;;
Ancient Stone Chamber;Balenos;1;1;Trace of Ascension;Trace of the Earth;;
Angie Island 1;Sea Central;1;1;Dried Skipjack;Dried Filefish;Dried Striped Catfish;Dried Bluefish
Angie Island 2;Sea Central;1;1;Dried Dolphinfish;Dried Striped Catfish;Dried Bluefish;Dried Clownfish
Areha Palm Forest 1;Valencia;1;3;Coconut;Palm Timber;Palm Plank;
Areha Palm Forest 2;Valencia;1;3;Coconut;Palm Timber;Palm Plank;
Baeza Island;Sea - West;1;1;Dried Saurel;Dried Octopus;Dried Mullet;Dried Nibbler
Balenos Forest 1;Balenos;2;1;Ash Timber;Spirit's Leaf;;
Balenos Forest 2;Balenos;2;1;Sunrise Herb;;;
Bambu Valley;Valencia;1;3;Freekeh;;;
Barater Island 1;Sea - West;1;1;Dried Ray;Dried Mullet;Dried Surfperch;Dried Pintado
Barater Island 2;Sea - West;1;1;Dried Saurel;Dried Flying Fish;Dried Mullet;Dried Bigeye
Bartali Farm 1;Balenos;2;1;Chicken Meat;Egg;;
Bartali Farm 2;Balenos;2;1;Potato;;;
Bashim Base;Valencia;1;3;Iron Ore;Powder of Darkness;Rough Black Crystal;
Bazaar Farmland 1;Valencia;2;3;Nutmeg;;;
Bazaar Farmland 2;Valencia;2;3;Teff;;;
Behr Riverhead;Calpheon;1;1;Tin Ore;Powder of Earth;;
Beiruwa Island;Sea Central;1;1;Dried Flatfish;Dried Whiting;Dried Surfperch;Dried Blue Tang
Bernianto Farm;Calpheon;2;1;Trace of Battle;Trace of Forest;;
Bree Tree Ruins 1;Calpheon;1;1;Birch Timber;Birch Sap;;
Bree Tree Ruins 2;Calpheon;1;1;Tiger Mushroom;;;
Capotia 1;Valencia;1;3;Copper Ore;Powder of Flame;Rough Opal;
Capotia 2;Valencia;1;3;Teff;;;
Casta Farm;Balenos;1;1;Grape;;;
Castle Ruins;Serendia;2;1;Maple Timber;Maple Sap;;
Coastal Cave 1;Balenos;1;1;Copper Ore;Powder of Flame;;
Coastal Cave 2;Balenos;1;1;Iron Ore;Powder of Darkness;;
Coastal Cliff 1;Balenos;1;1;Fortune Teller Mushroom;;;
Coastal Cliff 2;Balenos;1;1;Iron Ore;Powder of Darkness;;
Costa Farm 1;Serendia;2;1;Flax;Flax Thread;;
Costa Farm 2;Serendia;2;1;Pumpkin;;;
Costa Farm 3;Serendia;2;1;Wheat;;;
Crescent Mountains 1;Valencia;3;3;Iron Ore;Powder of Darkness;Rough Black Crystal;
Crescent Mountains 2;Valencia;3;3;Iron Ore;Powder of Darkness;Rough Black Crystal;
Crescent Shrine 1;Valencia;1;3;Date Palm;;;
Crescent Shrine 2;Valencia;1;3;Titanium Ore;Rough Violet Crystal;Powder of Flame;
Cron Castle Site;Balenos;1;1;Sunrise Herb;;;
Daton Island;Sea - West;1;1;Dried Saurel;Dried Sea Bass;Dried Flying Fish;Dried Bigeye
DelingHart Island 1;Sea Central;1;1;Dried Swellfish;Dried Flatfish;Dried Whiting;Dried Blue Tang
DelingHart Island 2;Sea Central;1;1;Dried Rockfish;Dried Round Herring;Dried Surfperch;Dried Blue Tang
Dormann Lumber Camp 1;Drieghan;2;5;Thuja Timber;Thuja Plank;Thuja Sap;
Dormann Lumber Camp 2;Drieghan;2;5;Fir Timber;Fir Plank;Fir Sap;
Duvencrune Farmland 1;Drieghan;1;3;Barley;;;
Duvencrune Farmland 2;Drieghan;1;5;Corn;;;
Ehwaz Hill 1;Balenos;1;1;Ash Timber;Ash Sap;;
Ehwaz Hill 2;Balenos;1;1;Fortune Teller Mushroom;;;
Elric Shrine 1;Mediah;1;3;Sky Mushroom;;;
Elric Shrine 2;Mediah;1;3;White Cedar Timber;White Cedar Sap;Bloody Tree Knot;
Ephde Rune Island;Sea Central;1;1;Dried Skipjack;dried Filefish;Dried Dolphinfish;Dried Striped Catfish
Erdal Farm 1;Valencia;2;3;Date Palm;;;
Erdal Farm 2;Valencia;2;3;Pistachio;;;
Erdal Farm 3;Valencia;2;3;Silk Thread;Silkworm Cocoon;;
Finto Farm 1;Balenos;2;1;Chicken Meat;Egg;;
Finto Farm 2;Balenos;2;1;Potato;;;
Fohalam Farm 1;Valencia;2;3;Teff;;;
Fohalam Farm 2;Valencia;2;3;Teff;;;
Forest Of Plunder;Balenos;1;1;Arrow Mushroom;;;
Forest of Seclusion 1;Balenos;2;1;Copper Ore;Powder of Flame;;
Forest of Seclusion 2;Balenos;2;1;Maple Timber;Monk's Branch;;
Fountain of Origin;Drieghan;2;3;Trace of Origin;;;
Gavinya Coastal Cliff 1;Valencia;1;2;Sunrise Herb;;;
Gavinya Coastal Cliff 2;Valencia;1;2;Vanadium Ore;Rough Opal;Powder of Darkness;
Gavinya Great Crater;Valencia;2;2;Titanium Ore;Rough Blue Crystal;Powder of Flame;
Gavinya Volcano 1;Valencia;3;2;Titanium Ore;Rough Violet Crystal;Powder of Flame;
Gavinya Volcano 2;Valencia;3;2;Vanadium Ore;Rough Blue Crystal;Powder of Crevice;
Gervish Mountains 1;Drieghan;1;2;Bracken;;;
Gervish Mountains 2;Drieghan;1;2;Sunrise Herb;;;
Glish Ruins;Serendia;1;1;Trace of Origin;Trace of Hunting;;
Glish Swamp 1;Serendia;1;1;Cloud Mushroom;;;
Glish Swamp 2;Serendia;1;1;Lead Ore;Powder of Time;;
Glutoni Cave 1;Calpheon;1;1;Coal;Powder of Crevice;;
Glutoni Cave 2;Calpheon;1;1;Emperor Mushroom;;;
Goblin Cave 1;Balenos;1;1;Ash Timber;Spirit's Leaf;;
Goblin Cave 2;Balenos;1;1;Copper Ore;Rough Translucent Crystal;;
Gorgo Rock Belt 1;Valencia;1;1;Elder Tree Timber;Elder Tree Plank;Elder Tree Sap;
Gorgo Rock Belt 2;Valencia;1;1;Pistachio;;;
Hexe Stone Wall;Calpheon;1;1;Iron Ore;Powder of Darkness;;
Holo Forest;Kamasylvia;2;2;Noc Ore;Powder of Time;;
Imp Cave 1;Balenos;1;1;Copper Ore;Powder of Flame;;
Imp Cave 2;Balenos;1;1;Copper Ore;Powder of Flame;;
Invernen Island 1;Sea Island;1;1;Dried Saurel;Dried Angler;Dried Dolphinfish;Dried Striped Catfish
Invernen Island 2;Sea Island;1;1;Dried Saurel;Dried Skipjack;Dried Dolphinfish;Dried Striped Catfish
Iris Canyon 1;Valencia;1;3;Elder Tree Timber;Elder Tree Plank;Elder Tree Sap;
Iris Canyon 2;Valencia;1;3;Nutmeg;;;
Ivero Cliff;Valencia;1;2;Arrow Mushroom;High-Quality Arrow Mushroom;Special Arrow Mushroom;
Kamasilve Temple 1;Mediah;2;2;Flax;Flax Thread;;
Kamasilve Temple 2;Mediah;2;2;Tiger Mushroom;;;
Karanda Ridge;Calpheon;1;1;Silk Honey Grass;;;
Kasula Farm 1;Mediah;2;2;Cinnamon;;;
Kasula Farm 2;Mediah;2;2;Cotton;Cotton Yarn;;
Keplan Quarry;Calpheon;1;1;Coal;Powder of Crevice;;
Khalk Canyon 1;Drieghan;1;5;Zinc Ore;Mythril;;
Khalk Canyon 2;Drieghan;1;5;Noc Ore;Mythril;;
Khimut Lumber Camp 1;Drieghan;2;5;Birch Timber;Birch Plank;Birch Sap;
Khimut Lumber Camp 2;Drieghan;2;5;Pine Timber;Pine Plank;Pine Sap;
Khuruto Cave;Calpheon;1;1;Tin Ore;Rough Red Crystal;;
Kmach Canyon 1;Valencia;1;3;Star Anise;;;
Kmach Canyon 2;Valencia;1;3;Vanadium Ore;Rough Blue Crystal;Powder of Crevice;
Kunid's Vacation Spot;Valencia;1;3;Bag of Muddy Water;Purified Water;;
Lake Flondor;Kamasylvia;3;2;Noc Ore;Powder of Earth;;
LeiCal Falls;Valencia;1;3;Bag of Muddy Water;Purified Water;;
Lisz Island 1;Sea Central;1;1;Dried Tuna;Dried Striped Catfish;Dried Bluefish;Dried Checkerboard Wrasse
Lisz Island 2;Sea Central;1;1;Dried Skipjack;Dried Filefish;Dried Dolphinfish;Dried Tapertail Anchovy
Loggia Farm;Balenos;2;1;Potato;;;
Longleaf Tree Forest;Calpheon;1;1;Cedar Timber;Cedar Sap;;
Longleaf Tree Sentry Post;Calpheon;2;1;Silk Honey Grass;;;
Looney Cabin;Kamasylvia;1;2;White Umbrella Mushroom;White Flower Mushroom;;
Loopy Tree Forest;Kamasylvia;2;2;Loopy Tree Timber;Loopy Tree Plank;Loopy Tree Sap;
Louruve Island;Sea Central;1;1;Dried Tuna;Dried Striped Catfish;Dried Clownfish;Dried Checkerboard Wrasse
Luivano Island;Sea Central;1;1;Dried Skipjack;Dried Dolphinfish;Dried Striped Catfish;Dried Surfperch
Lumberjack's Rest Area;Calpheon;1;1;Cedar Timber;Spirit's Leaf;;
Lynch Farm Ruins 1;Serendia;1;1;Silver Azalea;;;
Lynch Farm Ruins 2;Serendia;1;1;Trace of Savagery;Trace of Hunting;;
Lynch Ranch;Serendia;2;1;Fleece;Knitting Yarn;;
Mansha Forest 1;Calpheon;2;1;Fir Timber;Fir Sap;;
Mansha Forest 2;Calpheon;2;1;Trace of Violence;Trace of Despair;;
Marak Farm 1;Drieghan;2;3;Corn;;;
Marak Farm 1;Drieghan;2;5;Barley;;;
